sample,Noncoding,alpha_IIIa_secreted_candidate,alpha_IIIb,alpha_IIIc,alpha_IIIc_truncated,alpha_truncated,beta_IIIa_secreted_candidate,beta_IIIb,beta_IIIc,dominant_negative_candidate,ultrashort_truncated
CDS-nnHNDr,29.501499,0.0,0.0,15.789332,0.052121,0.0,0.0,0.0,0.0,0.0,0.188254
CDS-nnLiYQ,90.025508,0.0,0.0,31.704734000000002,0.0,0.0,4.202594,6.571534,24.485948,0.045047,0.5505909999999999
CDS-nndzi2,0.079001,0.0,0.0,0.020596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-nnnZIR,7.083958,0.0,0.0,6.460026,0.0,0.0,0.0,1.757303,3.6151159999999996,0.0,1.246764
CDS-nrtfmM,2.860424,0.0,0.014144,0.47624099999999997,0.0,0.0,0.0,1.306991,0.0,0.0,0.0
CDS-nsHty6,0.139829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-ntEm6x,8.705972,0.0,0.0,5.226179,0.0,0.0,0.0,0.0,3.27397,0.0,1.322323
CDS-nu6JK5,16.735067,0.0,0.0,7.568566,0.0,0.0,0.0,0.516155,1.688003,0.0,2.403854
CDS-nvnfql,17.813073,0.0,0.0,6.614931,0.066046,0.0,0.0,0.558004,8.437600999999999,0.0,0.0
CDS-nw51zB,88.77296299999999,0.0,0.0,29.398314,0.024838,0.0,0.0,5.850118,13.51996,0.0,12.74701
CDS-nwHA5F,16.968515,0.0,0.0,14.681092000000001,0.0,0.0,0.0,0.0,9.679408,0.031097,3.23338
CDS-nwsye3,47.95884,0.0,0.0,20.393905,0.0,0.0,0.0,2.230176,1.116088,0.0,0.084844
CDS-nzg2lE,46.955208,0.0,0.0,21.104487,0.269791,0.0,0.0,69.313625,89.501666,0.032897,16.899385
CDS-o0IcZu,1.565013,0.0,0.0,0.409737,0.0,0.0,0.0,1.399481,2.027958,0.0,0.0
CDS-o0ep2f,0.517525,0.0,0.0,0.578571,0.0,0.0,0.0,0.035433,0.0,0.0,0.0
CDS-o26RlG,61.506447,0.0,0.0,24.280876000000003,0.0,0.0,0.0,2.391728,12.984957,0.0,3.006558
CDS-o3cqP6,28.215365000000002,0.0,0.0,6.621167000000001,0.0,0.0,0.0,14.933337,20.430121,0.0,0.195393
CDS-o4tQ6c,1.184596,0.0,0.0,0.977969,0.0,0.0,0.0,0.207818,0.209866,0.0,0.0
CDS-o5ZWSu,42.554159,0.0,0.0,25.709473,0.113338,0.15161,0.0,0.785522,14.637854999999998,0.0,3.141075
CDS-o76JUe,25.840663,0.0,0.0,12.824706,0.0,0.0,0.0,2.054738,7.552593,0.0,0.758571
CDS-o9BnwW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-o9K7N6,6.131411999999999,0.0,0.0,5.646922999999999,0.0,0.0,0.0,5.131512,4.0003720000000005,0.0,0.0
CDS-o9TWLc,0.981047,0.0,0.0,0.20595799999999997,0.0,0.0,0.0,0.420617,0.051643,0.0,0.136142
CDS-oAF03S,12.672468,0.0,0.0,21.121051,0.158663,0.0,0.0,6.319981,5.515856,0.0,0.0
CDS-oBN9U5,0.058371,0.0,0.0,0.10477500000000001,0.0,0.0,0.0,0.0,0.2222,0.0,0.0
CDS-oCYCsh,37.938942000000004,0.0,0.0,71.283459,0.619743,0.0,0.0,12.050049,3.31507,0.0,0.0
CDS-oDt9bn,14.682633,0.0,0.0,5.458099,0.0,0.0,0.0,11.033254,25.259118,0.0,2.608442
CDS-oEzwnb,39.046445,0.0,0.020728,10.259323,0.0,0.0,0.0,5.662237,2.176979,0.0,0.623798
CDS-oIlkuD,0.392759,0.0,0.0,0.11551600000000001,0.0,0.0,0.0,0.615842,0.6541629999999999,0.0,0.0
CDS-oJM0Gj,68.257483,0.0,0.0,43.086524,0.197445,0.344236,6.05694,1.044796,15.490344,0.0,0.0
CDS-oJiTIp,2.572147,0.0,0.0,0.856491,0.0,0.0,0.0,0.359403,0.12902,0.0,0.0
CDS-oKqJE7,0.32205700000000004,0.0,0.0,0.108068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-oLwNcQ,0.588759,0.0,0.0,0.404642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-oO2fwl,16.113442,0.0,0.0,8.23214,0.014855,0.0,0.0,0.704156,4.969739,0.0,2.626761
CDS-oRMK1L,0.31461500000000003,0.0,0.0,0.191852,0.0,0.0,0.0,0.424086,0.697975,0.0,0.0
